;Symbol;medrv;bv;close_price;rv10;rsv_ss;open_time;nobs;rv5;bv_ss;rv5_ss;rv10_ss;open_to_close;close_time;rk_th2;rk_twoscale;open_price;rsv;rk_parzen
2004-07-21 00:00:00+01:00;.SPX;2.07E-05;4.57E-05;1094.4;7.36E-05;3.21E-05;93001;1460;5.87E-05;4.57E-05;5.87E-05;7.36E-05;-0.012954831;155955;4.18E-05;4.03E-05;1108.67;3.21E-05;9.01E-05
2004-07-22 00:00:00+01:00;.SPX;2.76E-05;7.68E-05;1096.57;7.60E-05;3.65E-05;93006;1541;8.04E-05;7.68E-05;8.04E-05;7.60E-05;0.002465259;160005;7.02E-05;6.67E-05;1093.87;3.65E-05;7.98E-05
2004-07-23 00:00:00+01:00;.SPX;3.15E-05;4.81E-05;1086.06;7.04E-05;3.57E-05;93000;1541;5.33E-05;4.81E-05;5.33E-05;7.04E-05;-0.00987685;155958;5.66E-05;5.58E-05;1096.84;3.57E-05;4.72E-05
2004-07-26 00:00:00+01:00;.SPX;4.85E-05;6.67E-05;1084.17;6.57E-05;3.36E-05;93009;1540;7.13E-05;6.67E-05;7.13E-05;6.57E-05;-0.002257244;160007;7.85E-05;7.73E-05;1086.62;3.36E-05;3.95E-05
2004-07-27 00:00:00+01:00;.SPX;2.25E-05;3.56E-05;1094.91;4.18E-05;1.35E-05;93014;1541;4.18E-05;3.56E-05;4.18E-05;4.18E-05;0.009165917;160013;4.06E-05;4.00E-05;1084.92;1.35E-05;5.05E-05
2004-07-28 00:00:00+01:00;.SPX;3.79E-05;6.85E-05;1095.8;8.87E-05;3.01E-05;93011;1541;7.19E-05;6.85E-05;7.19E-05;8.87E-05;0.001753681;160010;6.28E-05;6.10E-05;1093.88;3.01E-05;0.000111917
2004-07-29 00:00:00+01:00;.SPX;2.25E-05;3.30E-05;1100.86;4.69E-05;2.11E-05;93012;1541;4.28E-05;3.30E-05;4.28E-05;4.69E-05;0.003430473;160011;4.61E-05;4.55E-05;1097.09;2.11E-05;3.48E-05
2004-07-30 00:00:00+01:00;.SPX;1.19E-05;2.43E-05;1101.86;3.16E-05;1.42E-05;93002;1541;2.88E-05;2.43E-05;2.88E-05;3.16E-05;0.001353174;160000;3.81E-05;3.78E-05;1100.37;1.42E-05;2.34E-05
2004-08-02 00:00:00+01:00;.SPX;1.88E-05;2.83E-05;1106.61;3.20E-05;1.70E-05;93004;1541;3.62E-05;2.83E-05;3.62E-05;3.20E-05;0.004428693;160002;4.36E-05;4.34E-05;1101.72;1.70E-05;2.40E-05
2004-08-03 00:00:00+01:00;.SPX;1.26E-05;2.15E-05;1099.31;2.24E-05;1.77E-05;93003;1540;2.56E-05;2.15E-05;2.56E-05;2.24E-05;-0.006356482;160001;2.92E-05;2.91E-05;1106.32;1.77E-05;1.73E-05
